shoesIDX,shoesID,pro_name
280,1012A026-700,GEL-Kayano 25
281,1012A029-020,GT-1000 7 WIDE
282,1012A029-400,GT-1000 7 WIDE
283,1012A030-002,GT-1000 7
284,1012A030-020,GT-1000 7
285,1012A030-021,GT-1000 7
286,1012A030-400,GT-1000 7
287,1012A030-401,GT-1000 7
288,1012A030-404,GT-1000 7
289,1012A030-500,GT-1000 7
290,1012A032-001,GEL-KAYANO 25 WIDE
291,1012A032-020,GEL-KAYANO 25 WIDE
292,1012A035-001,GEL-Kayano 25 NYC
293,1012A036-001,GEL-Kayano 25 Lite-Show
294,1012A039-001,GEL-Scram 4
295,1012A039-021,GEL-Scram 4
296,1012A117-002,Patriot 10
297,1012A117-003,Patriot 10
298,1012A117-020,Patriot 10
299,1012A123-001,ROADHAWK FF 2
300,1012A123-020,ROADHAWK FF 2
301,1012A123-021,ROADHAWK FF 2
302,1012A123-022,ROADHAWK FF 2
303,1012A123-400,ROADHAWK FF 2
304,1012A123-401,ROADHAWK FF 2
305,1012A123-700,ROADHAWK FF 2
306,1012A124-400,GEL-Cumulus 20 SP
307,1012A128-001,DynaFlyte 3 Lite-Show
308,1012A130-001,METARIDE
309,1012A130-002,METARIDE
310,1012A130-400,METARIDE
311,1012A142-001,GT-4000 WIDE
312,1012A142-400,GT-4000 WIDE
313,1012A143-401,GT-2000 7 NARROW
314,1012A144-402,GT-2000 7 (2E)
315,1012A145-001,GT-4000
316,1012A145-020,GT-4000
317,1012A145-400,GT-4000
318,1012A146-002,GT-2000 7 (D)
319,1012A146-004,GT-2000 7 (D)
320,1012A146-401,GT-2000 7 (D)
321,1012A146-402,GT-2000 7 (D)
322,1012A147-001,GT-2000 7
323,1012A147-002,GT-2000 7
324,1012A147-003,GT-2000 7
325,1012A147-004,GT-2000 7
326,1012A147-020,GT-2000 7
327,1012A147-021,GT-2000 7
328,1012A147-100,GT-2000 7
329,1012A147-400,GT-2000 7
330,1012A147-401,GT-2000 7
331,1012A147-402,GT-2000 7
332,1012A147-700,GT-2000 7
333,1012A150-001,GEL-EXCITE 6
334,1012A150-003,GEL-EXCITE 6
335,1012A150-020,GEL-EXCITE 6
336,1012A150-021,GEL-EXCITE 6
337,1012A150-400,GEL-EXCITE 6
338,1012A150-402,GEL-EXCITE 6
339,1012A150-500,GEL-EXCITE 6
340,1012A150-700,GEL-EXCITE 6
341,1012A151-001,Jolt 2
342,1012A151-003,Jolt 2
343,1012A151-020,Jolt 2
344,1012A151-021,Jolt 2
345,1012A151-403,Jolt 2
346,1012A154-001,GEL-Excite 6 (D)
347,1012A154-020,GEL-Excite 6 (D)
348,1012A155-020,GEL-NIMBUS 21 WIDE
349,1012A155-400,GEL-NIMBUS 21 WIDE
350,1012A155-402,GEL-NIMBUS 21 WIDE
351,1012A156-001,GEL-NIMBUS 21
352,1012A156-002,GEL-NIMBUS 21
353,1012A156-004,GEL-NIMBUS 21
354,1012A156-020,GEL-NIMBUS 21
355,1012A156-021,GEL-NIMBUS 21
356,1012A156-022,GEL-NIMBUS 21
357,1012A156-023,GEL-NIMBUS 21
358,1012A156-300,GEL-NIMBUS 21
359,1012A156-400,GEL-NIMBUS 21
360,1012A156-401,GEL-NIMBUS 21
361,1012A156-402,GEL-NIMBUS 21
